//# 仕様
//
//## 各設定シート
//
//## Characterシート : 宴4に対する制限事項
//
//- CharacterName, NameText, Pattern, X, Y, Pivot, Scale, FileName, FileType, AnimationStateのみ機能する
//- FileTypeは、空欄、2DPrefabのみ対応。RenderTextureモードは非対応
//    - FileTypeに2DPrefabを指定した場合のみ、プレハブ直下に設定されたAnimatorを認識し、AnimationStateでAnimator.Play(stateName)する
//    - 単一のキャラクターが複数のFileTypeを持つことは出来ず、全てのパターンは同一のFileTypeである必要がある
//- NameTextはキャラごとの1行目に必須。paramは非対応
//- Pivotの数値指定は未対応
//
//## Textureシート : 宴4に対する制限事項
//
//- Label, Type, X, Y, Pivot, Scale, FileName, FileTypeのみ機能する
//- FileTypeは、空欄、2DPrefabのみ対応。RenderTextureモードは非対応
//    - FileTypeに2DPrefabを指定した場合のみ、プレハブ直下に設定されたAnimatorを認識し、Entryから入るアニメーションが再生される
//- Typeでは、Bg, Spriteのみ対応
//- Pivotの数値指定は未対応
//
//## Soundシート : 宴4に対する制限事項
//
//- Label, Type, FileNameのみ対応
//- Typeでは、Se, Bgmのみ対応
//- AdvRootのAllowsVoiceLabelをtrueにすると、SoundシートでVoiceタイプを認識し、使用できるようになる
//    - この機能は宴4互換ではないため、デフォルトではfalseになっている
//
//## Paramシート : 宴4に対する制限事項
//
//- Label, Valueのみ機能する
//- TypeはIntのみ固定
//- 変数置換に string.Replace を使用しているため、変数名が部分一致で変換される危険がある
//
//## 宴4互換フォルダ構成
//
//- Resources/ProjectName/Sound/BGM
//- Resources/ProjectName/Sound/SE
//- Resources/ProjectName/Sound/Voice
//- Resources/ProjectName/Texture/BG
//- Resources/ProjectName/Texture/Character
//- Resources/ProjectName/Texture/Sprite
//
//## シナリオとコマンド
//
//### Scenarioシート
//
//- WaitTypeは、未指定かNoWaitのみ対応
//- WindowTypeは非対応。代わりに、ChangeMessageWindowコマンドは使用可能
//- 宴レイヤー機能はなく、簡易実装
//    - Layerシートはない。Bgは専用、SpriteとCharacterはそれぞれ(奥)0～7(手前)を指定する
//    - SpriteとCharacterが同じレイヤー番号の場合、Characterが手前
//    - 構造としては、Bg用のCanvasBg、SpriteやCharacter用のCanvasSprite、メッセージウィンドウなどのCanvasUIの3つのCanvasに分かれている
//- Skipの挙動が宴4と異なる。Wait全般がWaitを待つ
//
//### コマンド詳細
//
//コマンド           |カテゴリ|制限事項
//-------------------|--------|--------------------------------------------------------
//空欄(Arg1未指定)   |Text    |PageCtrlはInput系3種とNextのみ対応。利用可能なタグはTMPが自動的に対応するもののみ
//空欄(Arg1あり)     |Text    |レイヤーは0～7を指定する簡易実装。Arg1～Arg6でのparamタグ、Characterタグなどは、Arg2へのOffタグ以外は全て非対応。PageCtrlやText等はArg1未指定と同様の制限事項。Voiceは後述
//CharacterOff       |Object  |Arg1はキャラクター指定のみ対応
//Bg                 |Object  |レイヤーに非対応
//BgOff              |Object  |-
//Sprite             |Object  |スプライト名とラベルに区別がなく、インスタンス化できない。レイヤーは0～7を指定する簡易実装
//SpriteOff          |Object  |スプライト名とラベルに区別がなく、インスタンス化できない
//Se                 |Sound   |同時に再生可能な数は8つまで。9つ目を再生すると最も古いものが停止される
//Bgm                |Sound   |-
//StopSe             |Sound   |-
//StopBgm            |Sound   |-
//Wait               |Effect  |-
//FadeIn             |Effect  |カメラ、アニメ指定は非対応。ルール画像はFadeHorizontal、FadeVertical、MosesH、MosesV、Cloudのみ対応。独自拡張として、Arg5にtrueを指定すると、ルール画像をネガポジ反転して使用できる。また、ルール画像の別名が5種がある。
//FadeOut            |Effect  |カメラ、アニメ指定は非対応。ルール画像はFadeHorizontal、FadeVertical、MosesH、MosesV、Cloudのみ対応。独自拡張として、Arg5にtrueを指定すると、ルール画像をネガポジ反転して使用できる。また、ルール画像の別名が5種がある。
//ImageEffect        |Effect  |カメラ、アニメ指定は非対応。ただし、カメラにはSpriteCameraを指定が必要。GrayScale、Sepiaのみ指定可能
//ImageEffectOff     |Effect  |カメラ、アニメ指定は非対応。ただし、カメラにはSpriteCameraを指定が必要。GrayScale、Sepiaのみ指定可能
//Tween              |Effect  |個別名のみ指定可能（背景はBGで指定可能）で、レイヤー指定は未対応。TweenTypeはMoveTo/From/Byの3種、Punch/Shake系のPositionとScale4種で計7種のみ。TweenParameterはislocalが指定可能なものはislocal=trueを指定しないとエラー(グローバルが許容されない)、色関連は非対応、=の左右に空白は許容されない制限あり。Easeはspringだけ非対応。loop非対応。Easeライブラリが宴と異なるため、挙動差がある可能性あり
//ShowMessageWindow  |UI      |独自拡張：Arg6でfadeSeconds指定可能（省略時0秒）。
//HideMessageWindow  |UI      |独自拡張：Arg6でfadeSeconds指定可能（省略時0秒）。
//ChangeMessageWindow|UI      |独自拡張：Arg6でfadeSeconds指定可能（省略時0秒）。
//Param              |Logic   |宴4互換で使用可能な演算子が少ない。詳細後述。変数にも制限あり
//Jump               |Logic   |宴4互換で使用可能な演算子が少ない。詳細後述。変数にも制限あり
//Selection          |Logic   |プレハブ、X、Yの個別指定は非対応。宴と仕様が異なり、直前のテキスト内容は非表示にならない。また、選択肢を出した後にテキストをさらに出すことも出来ない
//PauseScenario      |End     |-
//
//.
//
//### 独自コマンド
//
//コマンド         |カテゴリ|備考
//-----------------|--------|----------------
//SelectionTitle   |Logic   |Textに表示内容。Selectionの手前に置くことで表示できる
//
//.
//
//### 独自部分の補足
//
//#### レイヤー全般について
//
//- レイヤーの自作等の機能はなく、0～7の指定があるのみ。同一番号ではSpriteとCharacterはCharacterが手前
//
//#### 通常のFadeについて
//
//- UIより奥に配置され、フェードした状態でメッセージウィンドウなど各種UIが表示可能がデフォルト。
//
//#### Voiceについて
//
//- デフォルトでは宴4互換でVoiceフォルダ以下からのファイル名のみ許容します
//- AdvRootのAllowsVoiceLabelをtrueにすると、SoundシートでVoiceタイプを認識し、使用できるようになる
//    - この機能は宴4互換ではなく、後で宴に移行する際に障壁になりやすいため、デフォルトではfalseになっている
//
//### 宴4互換で使用可能な変数、演算子
//
//変数について
//
//- Paramシート定義はintのみ可能。なお計算式中は自動的にdouble相当になり、除算結果も小数になる。文字列等は非対応
//- string.Replace を使用しているため、変数名が部分一致で変換される危険がある。
//
//演算子について
//
//- 四則演算   : 宴4に準ずる
//- 比較演算子 : 宴4に準ずる
//- 単項演算   : 非対応
//- 括弧       : 宴4に準ずる
//- 論理演算   : 宴4に準ずる
//- 代入演算   : = のみ可能
//- 組込み関数 : 全て不可
//
//※ DataTable.Compute()を使用しているため、宴4にはない演算子やキーワードが解釈される場合がある
//いわゆる、SQLに登場するキーワード (AND, OR, NOT, LIKE, IN など)
//後で宴4などに乗り換える想定がある場合は、使用しないほうが無難
//
//### 補足
//
//- 改ページ直後の演出コマンド時、自動的にWindowをHide。（宴準拠）
//    - AdvRootのEmulatesUtageEffectCommandをfalseにすると、演出コマンドに対してWindowが非表示にならなくなる
//- Text時、自動的にWindowをShow。（宴準拠）

//###############################################################################

Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,WaitType,Text,PageCtrl,Voice,WindowType
Selection,*Label2DPrefabのSprite表示,,,,,,,2DPrefabのSprite表示,,,,

*LabelBg表示,,,,,,,,,,,
,,,,,,,,"Bgで背景を変更。\n演出系コマンド以外はコマンドの完了を待たないため、待ちたい場合はWaitコマンドも併用する。",,,
Bg,背景その2,,,,,2.0,,,,,,
Wait,,,,,,2,,,,,
,,,,,,,,"背景その2はわざとOffsetを入れています。",,,
,,,,,,,,"BgOffで背景を非表示。",,,
BgOff,,,,,,1.0,,,,,,
,,,,,,,,"補足として、Bgは常にSpriteやCharacterより奥に表示される。相対座標指定も可能。",,,
Bg,背景その2,,,-300,-150,2.0,,,,,,
,,,,,,,,"BGを切り替えた際、座標が未指定なら直前の指定が引き継がれる。(ただしTexture定義側のoffsetは別扱い)",,,
Bg,背景その1,,,,,1.0,,,,,,
,,,,,,,,"オフセット設定のある背景の再表示。",,,
Bg,背景その2,,,,,1.0,,,,,,
Jump,*Labelオブジェクト表示,,,,,,,,,,

*LabelSprite表示,,,,,,,,,,,
,,,,,,,,"Spriteでスプライトを表示。",,,
Sprite,猫1,,,150,0,2.0,,,,,,
,,,,,,,,"同名のSpriteを再指定すると移動する。複数表示されない。(スプライト名は非対応)",,,
Sprite,猫1,,,300,150,2.0,,,,,,
,,,,,,,,"Arg3、x、yは省略時に最後の値が継続される。",,,
Sprite,猫1,,,,,,,,,,,
,,,,,,,,"Arg3には0～7を指定可能。別のスプライトの指定例\n(レイヤー周辺は宴と互換性がない簡易仕様なため注意)",,,
Sprite,猫2,,1,,-150,2.0,,,,,,
,,,,,,,,"Arg3の変更も可能。前後関係は瞬時に変わる。",,,
Sprite,猫1,,2,-150,0,2.0,,,,,,
,,,,,,,,"SpriteOffで非表示に。",,,
SpriteOff,猫1,,,,,3.0,,,,,,
,,,,,,,,"SpriteOff後に表示する場合、未指定時のパラメータは全てリセットされる。",,,
Sprite,猫1,,,,,1.0,,,,,,
,,,,,,,,"レイヤー0に表示されました。\n次にレイヤー1に移動。（上書きが発生）",,,
Sprite,猫1,,1,300,,1.0,,,,,,
,,,,,,,,"猫2を再表示。上書きされた後に未指定の場合も、レイヤー指定などはリセットされて0扱い。",,,
Sprite,猫2,,,,,2.0,,,,,,
,,,,,,,,"レイヤーに1を指定して上書き。",,,
Sprite,猫2,,1,,,2.0,,,,,,
,,,,,,,,"レイヤー2を指定して再表示。",,,
Sprite,猫1,,2,,,1.0,,,,,,
Jump,*Labelオブジェクト表示,,,,,,,,,,

*Label2DPrefabのSprite表示,,,,,,,,,,,
,,,,,,,,"Spriteで2DPrefabスプライトを表示。",,,
Sprite,Prefab猫1Sprite,,7,300,200,,,,,,
Jump,*Labelオブジェクト表示,,,,,,,,,,

//###############################################################################

*Labelサウンド,,,,,,,,,,,
SelectionTitle,,,,,,,,サウンド,,,
Selection,*Labelスタート地点,,,,,,,戻る,,,,
Selection,*LabelSe再生,,,,,,,Se再生,,,,
Selection,*LabelBgm再生,,,,,,,Bgm再生,,,,

*LabelSe再生,,,,,,,,,,,
,,,,,,,,"SeでSeを再生。Seは多重に再生可能。",,,
Se,SEその1,,,,,,,,,,,
Wait,,,,,,0.5,,,,,
Se,SEその1,,0.6,,,,,,,,,
Wait,,,,,,1,,,,,
Se,SEその2,,,,,,,,,,,
Wait,,,,,,1,,,,,
,,,,,,,,"Seは最大8つ同時に再生可能。9つ目を再生すると、最も古いSeが消えて上書きされる。",,,
Se,SEその1,,0.6,,,,,,,,,
Wait,,,,,,0.2,,,,,
Se,SEその2,,,,,,,,,,,
Wait,,,,,,0.2,,,,,
Se,SEその2,,,,,,,,,,,
Wait,,,,,,0.2,,,,,
Se,SEその2,,,,,,,,,,,
Wait,,,,,,0.2,,,,,
Se,SEその2,,,,,,,,,,,
Wait,,,,,,0.2,,,,,
Se,SEその2,,,,,,,,,,,
Wait,,,,,,0.2,,,,,
Se,SEその2,,,,,,,,,,,
Wait,,,,,,0.2,,,,,
Se,SEその2,,,,,,,,,,,
,,,,,,,,"次で9つ目。",,,
Se,SEその2,,,,,,,,,,,
,,,,,,,,"ループも可能。",,,
Se,SEその1,true,,,,,,,,,,
Se,SEその2,true,,,,,,,,,,
,,,,,,,,"StopSeで指定したSeを終了。",,,
StopSe,SEその1,,,,,,,,,,,
,,,,,,,,"再度2つをループ再生状態に。",,,
Se,SEその1,true,,,,,,,,,,
,,,,,,,,"StopSeでLabelを指定しない場合は、全てのSeを終了。",,,
StopSe,,,,,,3.0,,,,,,
Jump,*Labelサウンド,,,,,,,,,,

*LabelBgm再生,,,,,,,,,,,
,,,,,,,,"BgmでBGMを変更。\nArg5とArg6を両方指定すれば、クロスフェード可能。",,,
Bgm,BGMその2,,,,2.0,2.0,,,,,,
Wait,,,,,,2.0,,,,,
,,,,,,,,"StopBgmで現在のBGMを終了。",,,
StopBgm,,,,,,2.0,,,,,
Wait,,,,,,2.0,,,,,
Jump,*Labelサウンド,,,,,,,,,,

//###############################################################################

*Label演出,,,,,,,,,,,
SelectionTitle,,,,,,,,演出,,,
Selection,*Labelスタート地点,,,,,,,戻る,,,,
Selection,*LabelWait,,,,,,,Wait,,,,
Selection,*Labelフェード,,,,,,,フェード,,,,
Selection,*Labelフェードルール画像別名,,,,,,,フェードルール画像別名,,,,
Selection,*LabelImageEffect,,,,,,,ImageEffect,,,,
Selection,*LabelTween,,,,,,,Tween,,,,

*LabelWait,,,,,,,,,,,
,,,,,,,,"Waitは一定時間その次のコマンドの実行せずに待つ。",,,
Wait,,,,,,1.0,,,,,
,,,,,,,,"他とのコマンドと併用することが基本となる。",,,
Jump,*Label演出,,,,,,,,,,

*Labelフェード,,,,,,,,,,,
,,,,,,,,"※ 演出コマンドは完了するまで次のコマンドを待つ。",,,
,,,,,,,,"FadeOutでフェードアウトし、FadeInでそれを解除する。",,,
FadeOut,"#446600",,,,,1.0,,,,,
FadeIn,"#446600",,,,,1.0,,,,,
,,,,,,,,"ルール画像指定フェードは、FadeHorizontal、FadeVertical、MosesH、MosesV、Cloudのみ対応。",,,
,,,,,,,,"また、独自拡張として、Arg5にtrueを指定すると、ルール画像をネガポジ反転して使用できる。",,,
,,,,,,,,"コマンドはFadeOutとFadeInだが、ルール画像を指定した場合は内部的にはImageEffectと同じ仕組みで駆動する。",,,
,,,,,,,,"URPでは事前に初期設定が必要になるため注意。\n（詳細はImageEffectを参照のこと）",,,
FadeOut,"#441100",,FadeHorizontal,0.2,,1,,,,,
FadeIn,"#441100",,FadeHorizontal,0.2,,1,,,,,
FadeOut,"#441100",,FadeHorizontal,0.2,true,1,,,,,
FadeIn,"#441100",,FadeHorizontal,0.2,true,1,,,,,
FadeOut,"#444400",,FadeVertical,0.2,,1,,,,,
FadeIn,"#444400",,FadeVertical,0.2,,1,,,,,
FadeOut,"#114400",,MosesH,0.2,,1,,,,,
FadeIn,"#114400",,MosesH,0.2,,1,,,,,
FadeOut,"#114400",,MosesV,0.2,,1,,,,,
FadeIn,"#114400",,MosesV,0.2,,1,,,,,
FadeOut,"#114444",,Cloud,0.2,,1,,,,,
FadeIn,"#114444",,Cloud,0.2,,1,,,,,
,,,,,,,,"WaitTypeにNoWaitの指定も可能。",,,
FadeOut,"#999988",,,0.2,,1,NoWait,,,,,
,,,,,,,,"こんな感じ1",,,
FadeIn,"#999988",,,0.2,,1,NoWait,,,,,
,,,,,,,,"こんな感じ2",,,
FadeOut,"#999988",,Cloud,0.2,,1,NoWait,,,,,
,,,,,,,,"こんな感じ3",,,
FadeIn,"#999988",,Cloud,0.2,,1,NoWait,,,,,
,,,,,,,,"こんな感じ4",,,
Jump,*Label演出,,,,,,,,,,

*Labelフェードルール画像別名,,,,,,,,,,,
,,,,,,,,"ルール画像名の独自拡張として、WipeRight、WipeLeft、WipeUp、WipeDown、WipeCenterが指定可能。\nFadeHorizontalなどのパラメータ指定違いとして動作する。",,,
FadeOut,"#441100",,WipeRight,0.2,,1,,,,,
FadeIn,"#441100",,WipeRight,0.2,,1,,,,,
FadeOut,"#441100",,WipeLeft,0.2,,1,,,,,
FadeIn,"#441100",,WipeLeft,0.2,,1,,,,,
FadeOut,"#441100",,WipeUp,0.2,,1,,,,,
FadeIn,"#441100",,WipeUp,0.2,,1,,,,,
FadeOut,"#441100",,WipeDown,0.2,,1,,,,,
FadeIn,"#441100",,WipeDown,0.2,,1,,,,,
FadeOut,"#441100",,WipeCenter,0.2,,1,,,,,
FadeIn,"#441100",,WipeCenter,0.2,,1,,,,,
FadeOut,"#001144",,WipeRight,0.2,true,1,,,,,
FadeIn,"#001144",,WipeRight,0.2,true,1,,,,,
FadeOut,"#001144",,WipeLeft,0.2,true,1,,,,,
FadeIn,"#001144",,WipeLeft,0.2,true,1,,,,,
FadeOut,"#001144",,WipeUp,0.2,true,1,,,,,
FadeIn,"#001144",,WipeUp,0.2,true,1,,,,,
FadeOut,"#001144",,WipeDown,0.2,true,1,,,,,
FadeIn,"#001144",,WipeDown,0.2,true,1,,,,,
FadeOut,"#001144",,WipeCenter,0.2,true,1,,,,,
FadeIn,"#001144",,WipeCenter,0.2,true,1,,,,,
Jump,*Label演出,,,,,,,,,,

*LabelImageEffect,,,,,,,,,,,
,,,,,,,,"※ 演出コマンドは完了するまで次のコマンドを待つ。",,,
,,,,,,,,"ImageEffectは、URPの場合は互換モード設定、パイプラインに追加の2手順が必要になります。\n（Builtinの場合は特に何もしなくても動きます。）",,,
,,,,,,,,"URPの場合は、以下を設定してください\n1. メニューのEditから Project Settings > Graphics > Render Graph\nCompatibility Mode (Render Graph Disabled) にチェック",,,
,,,,,,,,"URPの場合は、以下を設定してください\n2. プロジェクトビューから Assets > Settings > XX_Renderer ファイル\nRenderer Feature に SimplePostEffectRenderer を追加",,,
,,,,,,,,"ImageEffectでGrayScaleまたはSepiaが可能。",,,
ImageEffect,SpriteCamera,GrayScale,,,,2,,,,,
,,,,,,,,"ImageEffectOffで解除可能。",,,
ImageEffectOff,SpriteCamera,GrayScale,,,,2,,,,,
,,,,,,,,"Sepiaの場合。",,,
ImageEffect,SpriteCamera,Sepia,,,,1,,,,,
,,,,,,,,"解除。",,,
ImageEffectOff,SpriteCamera,Sepia,,,,1,,,,,
,,,,,,,,"NoWaitでまたずに実行",,,
ImageEffect,SpriteCamera,Sepia,,,,1,NoWait,,,,
,,,,,,,,"こんな感じ1",,,
ImageEffectOff,SpriteCamera,Sepia,,,,1,NoWait,,,,
,,,,,,,,"こんな感じ2",,,
Jump,*Label演出,,,,,,,,,,

*LabelTween,,,,,,,,,,,
SelectionTitle,,,,,,,,演出 > Tween,,,
Selection,*Label演出,,,,,,,戻る,,,,
Selection,*LabelBgのTween例,,,,,,,BgのTween例,,,,
Selection,*LabelCharacterのTween例,,,,,,,CharacterのTween例,,,,
Selection,*LabelSpriteのTween例,,,,,,,SpriteのTween例,,,,
Selection,*LabelSpriteのTween例(NoWait),,,,,,,SpriteのTween例(NoWait),,,,

*LabelBgのTween例,,,,,,,,,,,
,,,,,,,,"※ 演出コマンドは完了するまで次のコマンドを待つ。",,,
,,,,,,,,"TweenコマンドのArg1にBGを指定して制御可能",,,
Tween,BG,MoveTo,time=2 delay=0 x=150 y=300 islocal=true,,,,,,,,,
Tween,BG,MoveFrom,time=1 delay=2 x=300 y=75 islocal=true,easeInQuad,,,,,,,,
Tween,BG,MoveBy,time=1 delay=0 x=30 y=15,easeInOutCubic,,,,,,,,
Tween,BG,MoveTo,time=2 delay=0 x=0 y=0 islocal=true,easeInOutBounce,,,,,,,,
,,,,,,,,"TweenコマンドでPunchPosition, ShakePosition, PunchScale, ShakeScaleに対応。",,,
Tween,BG,PunchPosition,time=2 delay=0 x=15 y=15,,,,,,,,,
Tween,BG,ShakePosition,time=2 delay=0 x=15 y=15 islocal=true,,,,,,,,,
Tween,BG,PunchScale,time=2 delay=0 x=0.15 y=0.15,,,,,,,,,
Tween,BG,ShakeScale,time=2 delay=0 x=0.15 y=0.15,,,,,,,,,
Jump,*LabelTween,,,,,,,,,,

*LabelCharacterのTween例,,,,,,,,,,,
,,,,,,,,"※ 演出コマンドは完了するまで次のコマンドを待つ。",,,
,男子学生,,,,,,,"CharacterもTweenコマンドで移動できる。",,,
Tween,男子学生,MoveTo,time=2 delay=0 x=150 y=300 islocal=true,,,,,,,,,
Tween,男子学生,MoveFrom,time=1 delay=2 x=300 y=75 islocal=true,easeInQuad,,,,,,,,
Tween,男子学生,MoveBy,time=1 delay=0 x=30 y=15,easeInOutCubic,,,,,,,,
Tween,男子学生,MoveTo,time=2 delay=0 x=0 y=0 islocal=true,easeInOutBounce,,,,,,,,
Tween,男子学生,MoveTo,time=2 delay=0 x=300 y=0 islocal=true,easeInOutBounce,,,,,,,,
,,,,,,,,"CharacterもTweenコマンドでPunchPosition, ShakePosition, PunchScale, ShakeScaleに対応。",,,
Tween,男子学生,PunchPosition,time=2 delay=0 x=15 y=15,,,,,,,,,
Tween,男子学生,ShakePosition,time=2 delay=0 x=15 y=15 islocal=true,,,,,,,,,
Tween,男子学生,PunchScale,time=2 delay=0 x=0.15 y=0.1,,,,,,,,,
Tween,男子学生,ShakeScale,time=2 delay=0 x=0.15 y=0.15,,,,,,,,,
Jump,*LabelTween,,,,,,,,,,

*LabelSpriteのTween例,,,,,,,,,,,
,,,,,,,,"※ 演出コマンドは完了するまで次のコマンドを待つ。",,,
,,,,,,,,"SpriteもTweenコマンドで移動できる。",,,
Sprite,猫2,,0,0,0,2.0,,,,,,
Tween,猫2,MoveTo,time=2 delay=0 x=150 y=300 islocal=true,,,,,,,,,
Tween,猫2,MoveFrom,time=1 delay=2 x=300 y=75 islocal=true,easeInQuad,,,,,,,,
Tween,猫2,MoveBy,time=1 delay=0 x=30 y=15,easeInOutCubic,,,,,,,,
Tween,猫2,MoveTo,time=2 delay=0 x=0 y=0 islocal=true,easeInOutBounce,,,,,,,,
Tween,猫2,MoveTo,time=2 delay=0 x=-300 y=0 islocal=true,easeInOutBounce,,,,,,,,
,,,,,,,,"SpriteもTweenコマンドでPunchPosition, ShakePosition, PunchScale, ShakeScaleに対応。",,,
Tween,猫2,PunchPosition,time=2 delay=0 x=15 y=15,,,,,,,,,
Tween,猫2,ShakePosition,time=2 delay=0 x=15 y=15 islocal=true,,,,,,,,,
Tween,猫2,PunchScale,time=2 delay=0 x=0.15 y=0.15,,,,,,,,,
Tween,猫2,ShakeScale,time=2 delay=0 x=0.15 y=0.15,,,,,,,,,
Jump,*LabelTween,,,,,,,,,,

*LabelSpriteのTween例(NoWait),,,,,,,,,,,
,,,,,,,,"※ 演出コマンドは完了するまで次のコマンドを待つ。",,,
,,,,,,,,"WaitTypeにNoWaitを指定すると、Tweenコマンドを待たずに即座に次のコマンドへ進む。",,,
Sprite,猫2,,0,0,0,2.0,,,,,,
Tween,猫2,MoveTo,time=2 delay=0 x=150 y=300 islocal=true,,,,NoWait,,,,,
,,,,,,,,"こんな感じ1",,,
Tween,猫2,MoveFrom,time=1 delay=2 x=300 y=75 islocal=true,easeInQuad,,,NoWait,,,,,
,,,,,,,,"こんな感じ2",,,
Tween,猫2,MoveBy,time=1 delay=0 x=30 y=15,easeInOutCubic,,,NoWait,,,,,
,,,,,,,,"こんな感じ3",,,
Tween,猫2,MoveTo,time=2 delay=0 x=0 y=0 islocal=true,easeInOutBounce,,,NoWait,,,,,
,,,,,,,,"こんな感じ4",,,
Tween,猫2,MoveTo,time=2 delay=0 x=-300 y=0 islocal=true,easeInOutBounce,,,NoWait,,,,,
,,,,,,,,"以上、例でした。",,,
Jump,*LabelTween,,,,,,,,,,

//###############################################################################

*LabelUI,,,,,,,,,,,
SelectionTitle,,,,,,,,UI,,,
Selection,*Labelスタート地点,,,,,,,戻る,,,,
Selection,*Labelメッセージウィンドウの表示・非表示,,,,,,,メッセージウィンドウの表示・非表示,,,,
Selection,*Labelメッセージウィンドウの切り替え,,,,,,,メッセージウィンドウの切り替え,,,,

*Labelメッセージウィンドウの表示・非表示,,,,,,,,,,,
,,,,,,,,"Waitの前にShowMessageWindowを置けば、メッセージウィンドウが非表示になるのを防止できる。",,,
ShowMessageWindow,,,,,,,,,,,
Wait,,,,,,2,,,,,
,,,,,,,,"HideMessageWindowで明示的にウィンドウを非表示にできる。",,,
ShowMessageWindow,,,,,,,,,,,
HideMessageWindow,,,,,,,,,,,
Wait,,,,,,2,,,,,
ShowMessageWindow,,,,,,1,,,,,
,,,,,,,,"独自拡張として、ShowMessageWindowにArg6でfadeSecondsを指定可能（省略時0秒）",,,
,,,,,,,,"独自拡張として、HideMessageWindowにArg6でfadeSecondsを指定可能（省略時0秒）",,,
HideMessageWindow,,,,,,1,,,,,
Jump,*LabelUI,,,,,,,,,,

*Labelメッセージウィンドウの切り替え,,,,,,,,,,,
,,,,,,,,"ChangeMessageWindowでメッセージウィンドウの切り替えが可能。",,,
ChangeMessageWindow,MessageWindowFull,,,,,,,,,,
,,,,,,,,"切り替わりました。InputBr指定テスト。",InputBr,,
,,,,,,,,"改行テスト\n改行テスト\n次は通常のCtrlPage省略",,,
,,,,,,,,"改行テスト2\n改行テスト2",,,
ChangeMessageWindow,MessageWindow,,,,,,,,,,
,,,,,,,,"元のウィンドウに切り替えました。",,,
,,,,,,,,"メッセージウィンドウの仕組みについて。\nAdvRootの初期化時に、MessageWindowコンポーネントがアタッチされたノードを自動収集する。",,,
,,,,,,,,"ChangeMessageWindowは、指定した内容とそれらのノードのgameObject.nameと一致するものに切り替える。",,,
,,,,,,,,"独自拡張として、ChangeMessageWindowにArg6でfadeSecondsを指定可能（省略時0秒）",,,
ChangeMessageWindow,MessageWindowFull,,,,,2,,,,,
,,,,,,,,"通常Windowに戻します。",,,
ChangeMessageWindow,MessageWindow,,,,,2,,,,,
Jump,*LabelUI,,,,,,,,,,

//###############################################################################

*Labelロジック制御,,,,,,,,,,,
SelectionTitle,,,,,,,,ロジック制御,,,
Selection,*Labelスタート地点,,,,,,,戻る,,,,
Selection,*LabelParam、Jump、Selection,,,,,,,Param、Jump、Selection,,,,
Selection,*LabelSelectionの補足,,,,,,,Selectionの補足,,,,

*LabelParam、Jump、Selection,,,,,,,,,,,
,,,,,,,,"Param、Jump、Selectionは宴に比べると機能が少ない。",,,
,,,,,,,,"・使用できる変数はParamシートで定義したInt型のみ。\n・計算中は自動的にDoubleになり、整数÷整数も小数になる。\n・最終的に代入される際は、Int型に桁落ちする。",,,
,,,,,,,,"・使用可能な演算は、四則演算、比較演算子、括弧、論理演算。\n・代入演算は = のみ可能。\n・単項演算や、宴の組み込み関数等は全て使用できない。",,,
,,,,,,,,"・内部的にはDataTable.Compute()を使用しているため、宴が非対応な演算子も使える場合があるが、乗り換え予定があるなら非推奨。",,,
*Label例の開始,,,,,,,,,,,
,,,,,,,,"以下、数式のあるParamやJumpやSelectionの例",,,
Jump,*Label選択肢表示,0 < flag_a,,,,,,,,,
,,,,,,,,"ここはflag_aが0以下でないと到達しない。\nここはflag_aが0以下でないと到達しない。\nここはflag_aが0以下でないと到達しない。",,,
Param,flag_a = flag_a+1,,,,,,,,,,,
,,,,,,,,"flag_aが+1された。",,,
*Label選択肢表示,,,,,,,,,,,
Selection,*Labelロジック制御,,,,,,,戻る,,,,
Selection,*Label例の開始,,,,,,,選択肢1：「例の開始」に戻る,,,,
Selection,*Label次の飛び先,,,,,,,選択肢2：次へ進む,,,,
Selection,*Label例の開始,0 <flag_b,flag_a = 0,,,,,選択肢3：flag_a を 0にして「例の開始」に戻る,,,,
Selection,*Label例の開始,0 <flag_b,flag_b = 0,,,,,選択肢4：flag_b を 0にして「例の開始」に戻る,,,,
*Label次の飛び先,,,,,,,,,,,
Param,flag_b = flag_b+1,,,,,,,,,,,
,,,,,,,,"flag_bが+1された。",,,
,,,,,,,,"選択肢に戻ります。",,,
Jump,*Label選択肢表示,,,,,,,,,,

*LabelSelectionの補足,,,,,,,,,,,
,,,,,,,,"・プレハブ、X、Yの個別指定は非対応。\n・宴と異なり、メッセージウィンドウは非表示にならない。\n・宴と異なり、PageCtrlに非対応。",,,
,,,,,,,,"・宴にはないSelectionTitleがあり、Selectionの手前に配置すると機能する。",,,
Jump,*Labelロジック制御,,,,,,,,,,

//###############################################################################

*Label終了制御,,,,,,,,,,,
SelectionTitle,,,,,,,,終了制御,,,
Selection,*Labelスタート地点,,,,,,,戻る,,,,
Selection,*LabelPauseScenario,,,,,,,PauseScenario,,,,

*LabelPauseScenario,,,,,,,,,,,
,,,,,,,,"会話シーンなどを中断し、独自プログラム側に制御を渡したい場合、PauseScenarioでシナリオを中断する。",,,
,,,,,,,,"独自プログラム側は、IsEndOrPauseScenarioでPause中かを判別できる。",,,
PauseScenario,,,,,,,,,,,
